id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
37,TCS,Mar-13,11615.0,-6038.0,-5729.0,-152.0
38,TCS,Mar-14,14751.0,-9452.0,-5673.0,-374.0
39,TCS,Mar-15,19369.0,-1807.0,-17168.0,394.0
40,TCS,Mar-16,19109.0,-5010.0,-9666.0,4433.0
41,TCS,Mar-17,25223.0,-16895.0,-11026.0,-2698.0
42,TCS,Mar-18,25067.0,3104.0,-26885.0,1286.0
43,TCS,Mar-19,28593.0,1645.0,-27897.0,2341.0
44,TCS,Mar-20,32369.0,8968.0,-39915.0,1422.0
45,TCS,Mar-21,38802.0,-7956.0,-32634.0,-1788.0
46,TCS,Mar-22,39949.0,-738.0,-33581.0,5630.0
47,TCS,Mar-23,41965.0,548.0,-47878.0,-5365.0
48,TCS,Mar-24,44338.0,6091.0,-48536.0,1893.0
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0
95,ADANIENT,Mar 2013,7666.0,-14790.0,7199.0,75.0
96,ADANIENT,Mar 2014,8228.0,-8007.0,-1109.0,-888.0
97,ADANIENT,Mar 2015,8532.0,-11465.0,3445.0,512.0
98,ADANIENT,Mar 2016,5112.0,-1825.0,-3448.0,-161.0
99,ADANIENT,Mar 2017,774.0,-1460.0,716.0,30.0
100,ADANIENT,Mar 2018,2942.0,-7649.0,5120.0,413.0
101,ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,-436.0
102,ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,1151.0
103,ADANIENT,Mar 2021,4043.0,-8611.0,3109.0,-1459.0
104,ADANIENT,Mar 2022,1385.0,-17041.0,15901.0,246.0
105,ADANIENT,Mar 2023,17626.0,-15459.0,-1198.0,970.0
106,ADANIENT,Mar 2024,10312.0,-18767.0,8879.0,424.0
107,ADANIGREEN,Mar 2017,28.0,-1511.0,1559.0,76.0
108,ADANIGREEN,Mar 2018,649.0,-4428.0,3942.0,162.0
109,ADANIGREEN,Mar 2019,1625.0,-2666.0,1045.0,3.0
110,ADANIGREEN,Mar 2020,1965.0,-3743.0,2161.0,383.0
111,ADANIGREEN,Mar 2021,1601.0,-9137.0,7083.0,-453.0
112,ADANIGREEN,Mar 2022,3127.0,-18730.0,15986.0,383.0
113,ADANIGREEN,Mar 2023,7265.0,-3857.0,-2973.0,435.0
