,abb,,,,,,,
2,ABB,2020,923674.33,1120679.72,67.54,13.03,24.93,3.9
3,ABB,2021,1020674.09,1166450.81,62.63,6.67,7.58,1.58
4,ABB,2022,1185994.82,1158637.42,18.68,4.75,6.12,3.35
5,ABB,2023,1161513.28,1103083.77,58.34,12.72,5.7,1.05
6,ABB,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96
7,ADANIENSOL,2019,171905.69,222090.81,76.72,12.85,34.64,2.97
8,ADANIENSOL,2020,217135.25,213517.12,35.93,9.79,35.62,2.97
9,ADANIENSOL,2021,275655.59,300348.76,59.65,14.71,10.37,4.17
10,ADANIENSOL,2022,306303.52,354481.15,71.21,6.44,19.65,2.37
11,ADANIENSOL,2023,263283.51,289260.77,28.96,13.96,8.07,2.07
12,ADANIENSOL,2024,348517.36,439276.19,58.5,9.05,14.83,1.65
13,ADANIENT,2019,173718.83,178851.86,56.08,5.69,21.25,2.5
14,ADANIENT,2020,217309.44,213933.01,36.71,2.39,7.65,2.72
15,ADANIENT,2021,205258.66,189642.53,72.59,8.25,9.71,0.24
16,ADANIENT,2022,186771.02,203306.77,56.13,9.8,10.05,2.85
17,ADANIENT,2023,196563.95,213448.3,65.7,5.32,10.14,3.93
18,ADANIENT,2024,187927.97,191237.75,58.87,10.41,33.01,0.83
19,ADANIGREEN,2019,485373.12,541878.15,29.07,10.49,5.01,0.27
20,ADANIGREEN,2020,517543.72,664150.23,72.14,14.91,19.59,0.21
21,ADANIGREEN,2021,519085.0,607489.51,17.73,4.85,6.97,2.14
22,ADANIGREEN,2022,495446.05,463984.83,37.61,5.59,23.81,3.37
23,ADANIGREEN,2023,449015.01,546204.41,9.89,6.92,25.56,4.31
24,ADANIGREEN,2024,510512.78,491878.9,45.26,6.24,21.78,0.89
25,ADANIPORTS,2019,697221.18,835004.1,50.76,1.64,36.14,2.77
26,ADANIPORTS,2020,702836.27,645384.3,53.52,5.91,36.77,0.16
27,ADANIPORTS,2021,611152.14,782103.44,77.47,0.9,30.06,1.0
28,ADANIPORTS,2022,733808.16,915420.63,15.26,3.96,5.84,0.2
29,ADANIPORTS,2023,634603.85,774389.91,29.48,7.65,32.57,2.23
30,ADANIPORTS,2024,675598.01,611165.74,48.9,2.31,31.76,1.16
31,ADANIPOWER,2019,1188256.85,1362538.77,27.22,4.37,35.21,0.06
32,ADANIPOWER,2020,1117866.08,1278915.22,66.83,5.7,27.87,2.51
33,ADANIPOWER,2021,986259.76,1132916.67,66.6,14.89,6.04,2.97
34,ADANIPOWER,2022,1042747.57,942555.33,52.23,2.28,18.25,1.18
35,ADANIPOWER,2023,1074636.56,1178960.38,33.86,8.51,13.35,2.86
36,ADANIPOWER,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65
37,AMBUJACEM,2019,833955.32,873953.9,46.35,0.8,22.77,2.94
38,AMBUJACEM,2020,1025434.68,969394.29,79.32,9.29,17.71,1.12
39,AMBUJACEM,2021,1165353.63,1459820.61,45.48,10.09,17.52,1.75
40,AMBUJACEM,2022,1157298.18,1368221.47,33.86,3.27,17.93,3.84
41,AMBUJACEM,2023,1410892.33,1458659.98,73.29,1.59,6.74,0.57
42,AMBUJACEM,2024,1281411.04,1198290.68,55.62,9.21,27.67,3.1
43,APOLLOHOSP,2019,1083786.88,1245185.95,49.76,14.18,13.13,0.26
44,APOLLOHOSP,2020,1275343.54,1525399.05,28.39,8.78,7.08,4.32
45,APOLLOHOSP,2021,1154138.06,1069918.55,11.18,6.7,8.4,3.35
46,APOLLOHOSP,2022,1499729.8,1505860.05,53.27,1.11,18.53,1.32
47,APOLLOHOSP,2023,1446203.76,1674544.0,17.38,12.98,28.27,3.2
48,APOLLOHOSP,2024,1905622.43,2433382.94,47.72,7.68,16.74,3.22
49,ASIANPAINT,2019,1065817.17,1060968.11,30.34,5.08,33.21,0.45
50,ASIANPAINT,2020,1148763.92,1230363.26,13.27,6.46,22.97,0.29
51,ASIANPAINT,2021,1269304.94,1629400.62,78.48,8.21,23.03,1.28
52,ASIANPAINT,2022,1711731.0,1728320.53,40.61,0.54,17.22,0.32
53,ASIANPAINT,2023,2091585.31,2351790.62,49.2,4.65,33.52,0.01
54,ASIANPAINT,2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42
55,ATGL,2019,1148243.4,1228379.56,21.14,0.81,10.15,4.39
56,ATGL,2020,1099356.08,1400593.18,22.78,14.0,27.91,0.51
57,ATGL,2021,1254318.65,1288694.02,35.59,6.88,19.79,2.99
58,ATGL,2022,1548060.05,1597088.78,74.55,14.11,6.42,0.07
59,ATGL,2023,1644865.15,1868991.35,28.01,4.26,28.74,2.71
60,ATGL,2024,1535602.41,1925338.89,56.96,5.76,28.93,0.51
61,AXISBANK,2019,658857.1,603890.3,32.36,2.69,27.17,3.03
